Library ID,NCBI Biosample ID,type,condition,sex,tissue,reads,read length,Uniquely mapped (%),Multi-mappers (%),featureCount_unique,featureCount_ambiguous,featureCount_multimapped,featureCount_nofeatures
Fe_At_SF_2,SRS556110,single,SF,female,abdominaltip,76330418,1x101,83.07%,10.69%,67.63%,1.45%,23.96%,6.95%
Fe_At_SF_3,SRS556111,single,SF,female,abdominaltip,53945497,1x101,81.94%,11.74%,65.44%,1.45%,26.16%,6.94%
Fe_Br_BF_1,SRS556135,single,BF,female,brain,104210613,2x101,67.46%,6.56%,60.72%,1.33%,26.51%,11.44%
Fe_Br_BF_2,SRS556136,single,BF,female,brain,131844430,2x101,85.36%,8.59%,60.40%,1.38%,26.17%,12.04%
Fe_Br_BF_3,SRS556137,single,BF,female,brain,175522701,2x101,83.89%,9.68%,59.18%,1.37%,24.28%,15.17%
Fe_Br_BF_4,SRS556138,single,BF,female,brain,36901845,2x101,85.51%,7.77%,64.42%,1.42%,20.17%,13.98%
Fe_Br_O_1,SRS556155,single,O,female,brain,89816099,1x101,80.47%,10.85%,61.47%,1.43%,25.41%,11.69%
Fe_Br_O_2,SRS556156,single,O,female,brain,75503229,1x101,78.63%,10.53%,61.89%,1.38%,25.36%,11.37%
Fe_Br_O_3,SRS556157,single,O,female,brain,75414215,1x101,83.36%,9.73%,62.19%,1.45%,22.97%,13.40%
Fe_Br_O_4,SRS556158,single,O,female,brain,115251542,1x101,80.90%,9.50%,61.49%,1.44%,23.15%,13.92%
Fe_Br_SF_1,SRS556042,paired,SF,female,brain,104210613,2x101,67.46%,6.56%,62.81%,1.49%,19.33%,16.37%
Fe_Br_SF_2,SRS556043,paired,SF,female,brain,154462270,2x101,85.36%,8.59%,71.42%,3.21%,8.98%,16.39%
Fe_Br_SF_3,SRS556044,paired,SF,female,brain,175522701,2x101,83.89%,9.68%,62.44%,1.16%,24.04%,12.36%
Fe_Br_SF_4,SRS556045,paired,SF,female,brain,36901845,2x101,85.51%,7.77%,66.90%,1.50%,17.21%,14.38%
Fe_Br_SF_5,SRS556102,single,SF,female,brain,125693606,1x101,80.33%,9.72%,63.06%,1.41%,23.34%,12.19%
Fe_Br_SF_6,SRS556103,single,SF,female,brain,126435290,1x101,81.14%,10.24%,61.98%,1.41%,24.20%,12.40%
Fe_Br_SF_7,SRS556104,single,SF,female,brain,77161548,1x101,81.48%,9.55%,59.00%,1.43%,23.48%,16.09%
Fe_Br_SF_8,SRS556105,single,SF,female,brain,57297068,1x101,82.06%,7.94%,65.07%,1.46%,19.83%,13.65%
